Time (s),Sine Wave,Square Wave
0.0,0.0,0.0
0.001,0.03141075907812829,1.0
0.002,0.06279051952931337,1.0
0.003,0.09410831331851433,1.0
0.004,0.12533323356430426,1.0
0.005,0.15643446504023087,1.0
0.006,0.18738131458572463,1.0
0.007,0.21814324139654254,1.0
0.008,0.2486898871648548,1.0
0.009000000000000001,0.2789911060392293,1.0
0.01,0.3090169943749474,1.0
0.011,0.33873792024529137,1.0
0.012,0.368124552684678,1.0
0.013000000000000001,0.3971478906347806,1.0
0.014,0.42577929156507266,1.0
0.015,0.45399049973954675,1.0
0.016,0.4817536741017153,1.0
0.017,0.5090414157503713,1.0
0.018000000000000002,0.5358267949789967,1.0
0.019,0.5620833778521306,1.0
0.02,0.5877852522924731,1.0
0.021,0.6129070536529765,1.0
0.022,0.6374239897486896,1.0
0.023,0.6613118653236518,1.0
0.024,0.6845471059286887,1.0
0.025,0.7071067811865476,1.0
0.026000000000000002,0.7289686274214116,1.0
0.027,0.7501110696304595,1.0
0.028,0.7705132427757893,1.0
0.029,0.7901550123756904,1.0
0.03,0.8090169943749475,1.0
0.031,0.8270805742745618,1.0
0.032,0.8443279255020151,1.0
0.033,0.8607420270039436,1.0
0.034,0.8763066800438637,1.0
0.035,0.8910065241883678,1.0
0.036000000000000004,0.9048270524660196,1.0
0.037,0.917754625683981,1.0
0.038,0.9297764858882513,1.0
0.039,0.9408807689542255,1.0
0.04,0.9510565162951535,1.0
0.041,0.9602936856769431,1.0
0.042,0.9685831611286311,1.0
0.043000000000000003,0.9759167619387474,1.0
0.044,0.9822872507286886,1.0
0.045,0.9876883405951378,1.0
0.046,0.9921147013144779,1.0
0.047,0.99556196460308,1.0
0.048,0.9980267284282716,1.0
0.049,0.9995065603657316,1.0
0.05,1.0,1.0
0.051000000000000004,0.9995065603657316,1.0
0.052000000000000005,0.9980267284282716,1.0
0.053,0.99556196460308,1.0
0.054,0.9921147013144779,1.0
0.055,0.9876883405951378,1.0
0.056,0.9822872507286887,1.0
0.057,0.9759167619387474,1.0
0.058,0.9685831611286311,1.0
0.059000000000000004,0.9602936856769431,1.0
0.06,0.9510565162951536,1.0
0.061,0.9408807689542255,1.0
0.062,0.9297764858882515,1.0
0.063,0.9177546256839813,1.0
0.064,0.9048270524660195,1.0
0.065,0.8910065241883679,1.0
0.066,0.8763066800438635,1.0
0.067,0.8607420270039436,1.0
0.068,0.844327925502015,1.0
0.069,0.8270805742745617,1.0
0.07,0.8090169943749475,1.0
0.07100000000000001,0.7901550123756903,1.0
0.07200000000000001,0.7705132427757893,1.0
0.073,0.7501110696304596,1.0
0.074,0.7289686274214118,1.0
0.075,0.7071067811865476,1.0
0.076,0.6845471059286888,1.0
0.077,0.6613118653236518,1.0
0.078,0.6374239897486899,1.0
0.079,0.6129070536529764,1.0
0.08,0.5877852522924732,1.0
0.081,0.5620833778521305,1.0
0.082,0.5358267949789967,1.0
0.083,0.5090414157503711,1.0
0.084,0.4817536741017152,1.0
0.085,0.45399049973954686,1.0
0.08600000000000001,0.4257792915650725,1.0
0.08700000000000001,0.3971478906347806,1.0
0.088,0.36812455268467814,1.0
0.089,0.33873792024529176,1.0
0.09,0.3090169943749475,1.0
0.091,0.27899110603922955,1.0
0.092,0.24868988716485482,1.0
0.093,0.21814324139654276,1.0
0.094,0.18738131458572457,1.0
0.095,0.15643446504023098,1.0
0.096,0.1253332335643041,1.0
0.097,0.09410831331851435,1.0
0.098,0.06279051952931358,1.0
0.099,0.031410759078128236,1.0
0.1,1.2246467991473532e-16,1.0
0.101,-0.03141075907812844,-1.0
0.10200000000000001,-0.06279051952931335,-1.0
0.10300000000000001,-0.09410831331851455,-1.0
0.10400000000000001,-0.12533323356430429,-1.0
0.105,-0.15643446504023073,-1.0
0.106,-0.18738131458572432,-1.0
0.107,-0.2181432413965425,-1.0
0.108,-0.24868988716485457,-1.0
0.109,-0.2789911060392293,-1.0
0.11,-0.3090169943749473,-1.0
0.111,-0.3387379202452915,-1.0
0.112,-0.3681245526846779,-1.0
0.113,-0.3971478906347804,-1.0
0.114,-0.42577929156507266,-1.0
0.115,-0.45399049973954664,-1.0
0.116,-0.4817536741017154,-1.0
0.117,-0.5090414157503712,-1.0
0.11800000000000001,-0.5358267949789968,-1.0
0.11900000000000001,-0.5620833778521306,-1.0
0.12,-0.587785252292473,-1.0
0.121,-0.6129070536529763,-1.0
0.122,-0.6374239897486896,-1.0
0.123,-0.6613118653236517,-1.0
0.124,-0.6845471059286887,-1.0
0.125,-0.7071067811865475,-1.0
0.126,-0.7289686274214113,-1.0
0.127,-0.7501110696304595,-1.0
0.128,-0.7705132427757894,-1.0
0.129,-0.7901550123756904,-1.0
0.13,-0.8090169943749473,-1.0
0.131,-0.8270805742745616,-1.0
0.132,-0.8443279255020153,-1.0
0.133,-0.8607420270039438,-1.0
0.134,-0.8763066800438636,-1.0
0.135,-0.8910065241883678,-1.0
0.136,-0.9048270524660198,-1.0
0.137,-0.9177546256839813,-1.0
0.138,-0.9297764858882515,-1.0
0.139,-0.9408807689542255,-1.0
0.14,-0.9510565162951535,-1.0
0.14100000000000001,-0.9602936856769432,-1.0
0.14200000000000002,-0.9685831611286312,-1.0
0.14300000000000002,-0.9759167619387474,-1.0
0.14400000000000002,-0.9822872507286887,-1.0
0.145,-0.9876883405951377,-1.0
0.146,-0.9921147013144778,-1.0
0.147,-0.99556196460308,-1.0
0.148,-0.9980267284282716,-1.0
0.149,-0.9995065603657316,-1.0
0.15,-1.0,-1.0
0.151,-0.9995065603657316,-1.0
0.152,-0.9980267284282716,-1.0
0.153,-0.9955619646030801,-1.0
0.154,-0.9921147013144779,-1.0
0.155,-0.9876883405951378,-1.0
0.156,-0.9822872507286887,-1.0
0.157,-0.9759167619387475,-1.0
0.158,-0.9685831611286311,-1.0
0.159,-0.9602936856769431,-1.0
0.16,-0.9510565162951536,-1.0
0.161,-0.9408807689542256,-1.0
0.162,-0.9297764858882512,-1.0
0.163,-0.917754625683981,-1.0
0.164,-0.9048270524660196,-1.0
0.165,-0.891006524188368,-1.0
0.166,-0.8763066800438634,-1.0
0.167,-0.8607420270039434,-1.0
0.168,-0.844327925502015,-1.0
0.169,-0.8270805742745618,-1.0
0.17,-0.8090169943749476,-1.0
0.171,-0.7901550123756901,-1.0
0.17200000000000001,-0.770513242775789,-1.0
0.17300000000000001,-0.7501110696304595,-1.0
0.17400000000000002,-0.7289686274214116,-1.0
0.17500000000000002,-0.707106781186547,-1.0
0.176,-0.684547105928689,-1.0
0.177,-0.6613118653236523,-1.0
0.178,-0.6374239897486903,-1.0
0.179,-0.6129070536529765,-1.0
0.18,-0.5877852522924734,-1.0
0.181,-0.5620833778521309,-1.0
0.182,-0.5358267949789971,-1.0
0.183,-0.509041415750372,-1.0
0.184,-0.4817536741017153,-1.0
0.185,-0.45399049973954697,-1.0
0.186,-0.425779291565073,-1.0
0.187,-0.3971478906347812,-1.0
0.188,-0.36812455268467786,-1.0
0.189,-0.3387379202452914,-1.0
0.19,-0.3090169943749477,-1.0
0.191,-0.27899110603922966,-1.0
0.192,-0.2486898871648545,-1.0
0.193,-0.21814324139654243,-1.0
0.194,-0.18738131458572468,-1.0
0.195,-0.1564344650402311,-1.0
0.196,-0.12533323356430465,-1.0
0.197,-0.09410831331851403,-1.0
0.198,-0.06279051952931326,-1.0
0.199,-0.03141075907812836,-1.0
0.2,-2.4492935982947064e-16,-1.0
0.201,0.03141075907812876,1.0
0.202,0.06279051952931367,1.0
0.203,0.09410831331851442,1.0
0.20400000000000001,0.12533323356430418,1.0
0.20500000000000002,0.1564344650402315,1.0
0.20600000000000002,0.18738131458572507,1.0
0.20700000000000002,0.21814324139654281,1.0
0.20800000000000002,0.24868988716485488,1.0
0.209,0.27899110603922833,1.0
0.21,0.3090169943749472,1.0
0.211,0.338737920245291,1.0
